DomainId,Name
431,sandiego.msn.com
432,sanjose.msn.com
433,richmond.msn.com
434,roanoke.msn.com
435,sacramento.msn.com
436,pittsburgh.msn.com
437,portland.msn.com
438,providence.msn.com
439,orlando.msn.com
440,philadelphia.msn.com
441,phoenix.msn.com
442,neworleans.msn.com
443,newyork.msn.com
444,oklahomacity.msn.com
445,milwaukee.msn.com
446,mobile.local.msn.com
447,nashville.msn.com
448,louisville.msn.com
449,memphis.msn.com
450,miami.msn.com
451,littlerock.msn.com
452,local.msn.com
453,losangeles.msn.com
454,knoxville.msn.com
455,lancaster.msn.com
456,lasvegas.msn.com
457,indianapolis.msn.com
458,jacksonville.msn.com
459,kansascity.msn.com
460,greenville.msn.com
461,hartford.msn.com
462,houston.msn.com
463,fresno.msn.com
464,grandrapids.msn.com
465,greenbay.msn.com
466,denver.msn.com
467,detroit.msn.com
468,flint.msn.com
469,columbus.msn.com
470,dallas.msn.com
471,dayton.msn.com
472,chicago.msn.com
473,cincinnati.msn.com
474,cleveland.msn.com
475,buffalo.msn.com
476,charleston.msn.com
477,charlotte.msn.com
478,bayarea.msn.com
479,birmingham.msn.com
480,boston.msn.com
481,atlanta.msn.com
482,austin.msn.com
483,baltimore.msn.com
484,mondial.automobile.msn.fr
485,albany.msn.com
486,albuquerque.msn.com
487,carpoint.com
488,members.ninemsn.com.au
489,ucm.carpoint.msn.com
490,www.bcentral.com
491,careers.msn.com
492,autoshow2001.carpoint.msn.com
493,smgr.bcentral.com
494,ulogin.bcentral.com
495,website.bcentral.com
496,marketplace.bcentral.com
497,marketplace.msn.com
498,payment.bcentral.com
499,cart.bcentral.com
500,commerce.bcentral.com
501,customermanager.bcentral.com
502,notify.mobile.msn.com
503,cagle.slate.msn.com
504,encarta.de
505,encarta.fr
506,home.msn.de
507,humor.ciudadfutura.com
508,money.msn.fr
509,music.windowsmedia.msn.com
510,profiles.msn.com
511,smarttags.msn.com
512,sms.msn.es
513,sms.msn.se
514,stacks.msnbc.com
515,update.smarttags.msn.com
516,www.fr.msn.ch
517,members.t1msn.com.mx
518,profiles.fr.msn.be
519,profiles.fr.msn.ca
520,profiles.fr.msn.ch
521,slate.com
522,encarta.com
